channel,APA,TPC,det_center_x,det_center_y,det_center_z,ch_center_z
106,2,5,-357.495655,214.409625,347.29625,316.59625
107,2,5,-357.495655,153.65975,347.29625,316.59625
108,2,5,-357.495655,92.909875,347.29625,316.59625
109,2,5,-357.495655,32.16,347.29625,316.59625
110,2,5,-357.495655,578.908875,347.29625,267.39625
111,2,5,-357.495655,518.159,347.29625,267.39625
112,2,5,-357.495655,457.409125,347.29625,267.39625
113,2,5,-357.495655,396.65925,347.29625,267.39625
114,2,5,-357.495655,335.909375,347.29625,267.39625
115,2,5,-357.495655,275.1595,347.29625,267.39625
116,2,5,-357.495655,214.409625,347.29625,267.39625
117,2,5,-357.495655,153.65975,347.29625,267.39625
118,2,5,-357.495655,92.909875,347.29625,267.39625
119,2,5,-357.495655,32.16,347.29625,267.39625
120,1,1,-357.495655,578.908875,115.23625,195.13625
121,1,1,-357.495655,518.159,115.23625,195.13625
122,1,1,-357.495655,457.409125,115.23625,195.13625
123,1,1,-357.495655,396.65925,115.23625,195.13625
124,1,1,-357.495655,335.909375,115.23625,195.13625
125,1,1,-357.495655,275.1595,115.23625,195.13625
126,1,1,-357.495655,214.409625,115.23625,195.13625
127,1,1,-357.495655,153.65975,115.23625,195.13625
128,1,1,-357.495655,92.909875,115.23625,195.13625
129,1,1,-357.495655,32.16,115.23625,195.13625
130,1,1,-357.495655,578.908875,115.23625,145.93625
131,1,1,-357.495655,518.159,115.23625,145.93625
132,1,1,-357.495655,457.409125,115.23625,145.93625
133,1,1,-357.495655,396.65925,115.23625,145.93625
134,1,1,-357.495655,335.909375,115.23625,145.93625
135,1,1,-357.495655,275.1595,115.23625,145.93625
136,1,1,-357.495655,214.409625,115.23625,145.93625
137,1,1,-357.495655,153.65975,115.23625,145.93625
138,1,1,-357.495655,92.909875,115.23625,145.93625
139,1,1,-357.495655,32.16,115.23625,145.93625
140,1,1,-357.495655,578.908875,115.23625,84.53625
141,1,1,-357.495655,518.159,115.23625,84.53625
142,1,1,-357.495655,457.409125,115.23625,84.53625
143,1,1,-357.495655,396.65925,115.23625,84.53625
144,1,1,-357.495655,335.909375,115.23625,84.53625
145,1,1,-357.495655,275.1595,115.23625,84.53625
146,1,1,-357.495655,214.409625,115.23625,84.53625
147,1,1,-357.495655,153.65975,115.23625,84.53625
148,1,1,-357.495655,92.909875,115.23625,84.53625
149,1,1,-357.495655,32.16,115.23625,84.53625
150,1,1,-357.495655,578.908875,115.23625,35.33625
151,1,1,-357.495655,518.159,115.23625,35.33625
152,1,1,-357.495655,457.409125,115.23625,35.33625
153,1,1,-357.495655,396.65925,115.23625,35.33625
154,1,1,-357.495655,335.909375,115.23625,35.33625
155,1,1,-357.495655,275.1595,115.23625,35.33625
156,1,1,-357.495655,214.409625,115.23625,35.33625
157,1,1,-357.495655,153.65975,115.23625,35.33625
158,1,1,-357.495655,92.909875,115.23625,35.33625
159,1,1,-357.495655,32.16,115.23625,35.33625
